source,target,value
"lodder, t.m. (truze)",ns/raad van commissarissen,1
"lodder, t.m. (truze)",nexus/adviesraad,1
"lodder, t.m. (truze)",van lanschot/raad van commissarissen,1
"lodder, t.m. (truze)",vsbfonds/bestuur,1
"lodder, t.m. (truze)",muziektheater/directie,5
"loudon, a.a. (aarnout)",akzo nobel/raad van commissarissen,4
"loudon, a.a. (aarnout)",concertgebouw fonds/johannes brahms kring,1
"loudon, a.a. (aarnout)",kunstbezit/bestuur,3
"loudon, a.a. (aarnout)","rembrandt, vereniging/bestuur",3
"loudon, a.a. (aarnout)",concertgebouw nv/raad van commissarissen,1
"loudon, a.a. (aarnout)",abn amro/raad van commissarissen,4
"loudon, a.a. (aarnout)",conference board/international council,2
"loudon, a.a. (aarnout)",royal dutch shell/board of directors,3
"lubbers, r.f.m. (ruud)",rijksoverheid/minister van staat,5
"lubbers, r.f.m. (ruud)",vno-ncw/curatorium,4
"lubbers, r.f.m. (ruud)",nexus/adviesraad,1
"lugt, g.j.a. (godfried) van der",ing groep/raad van commissarissen,1
"lugt, g.j.a. (godfried) van der",stadsherstel amsterdam/raad van commissarissen,4
"lugt, g.j.a. (godfried) van der",umcg (groningen)/raad van toezicht,3
"lugt, g.j.a. (godfried) van der",amsterdams historisch/bestuur,1
"lugt, g.j.a. (godfried) van der",natuurmonumenten/bestuur,1
"luijk, g.j. (hans) van",vsnu/algemeen bestuur,1
"luijk, g.j. (hans) van",nftw/forum,1
"luijk, g.j. (hans) van",tud/college van bestuur,4
"luijk, g.j. (hans) van",gasunie n.v./raad van commissarissen,1
"maas-de brouwer, t.a. (trude)",abn amro/raad van commissarissen,1
"maas-de brouwer, t.a. (trude)",schiphol/raad van commissarissen,1
"maas-de brouwer, t.a. (trude)",opportunity/bestuur,4
"maas-de brouwer, t.a. (trude)",vno-ncw/curatorium,1
"maas-de brouwer, t.a. (trude)",arbo unie/raad van commissarissen,1
"maas-de brouwer, t.a. (trude)",staten generaal/eerste kamer,1
"maas-de brouwer, t.a. (trude)",twynstra en gudde/raad van commissarissen,1
"maas-de brouwer, t.a. (trude)",van leer/bestuur,1
"maas, c. (cees)","rembrandt, vereniging/adviesraad",1
"maas, c. (cees)",fmo/raad van commissarissen,1
"maas, c. (cees)",ing groep/raad van bestuur,4
"maas, c. (cees)",trilateral commission/bestuur,1
"maljers, f.a. (floris)",vendex kbb/raad van commissarissen,4
"maljers, f.a. (floris)",lnv/commissie schadebepaling kokkelvisserij,4
"maljers, f.a. (floris)",air france-klm/raad van commissarissen,1
"maljers, f.a. (floris)",concertgebouw fonds/gustav mahler kring,1
"maljers, f.a. (floris)",rand europe/raad van commissarissen,1
"meijer, w. (wim)",economische zaken/mijnraad,4
"meijer, w. (wim)",ns/raad van commissarissen,4
"meijer, w. (wim)",nuon/raad van commissarissen,4
"meurs, p.l. (pauline)",vws/begeleidingscollege scp,1
"meurs, p.l. (pauline)",azm/raad van toezicht,1
"meurs, p.l. (pauline)",vws/stuurgroep modernisering beroepsuitoefening in de gezondheidszorg,1
"meurs, p.l. (pauline)",algemene zaken/wetenschappelijke raad voor het regeringsbeleid,1
"meurs, p.l. (pauline)",wiardi beckman/curatorium,1
"meurs, p.l. (pauline)","baak, de/bestuur",1
"meurs, p.l. (pauline)",justitie/commissie evaluatie vreemdelingenwet 2000,1
"minderhoud, m. (marinus)",nuon/raad van commissarissen,1
"minderhoud, m. (marinus)",getronics/raad van commissarissen,4
"minderhoud, m. (marinus)",rabobank groep/raad van commissarissen,1
"minderhoud, m. (marinus)",achmea/raad van commissarissen,1
"moerland, p.w. (piet)",nvb/bestuur,4
"moerland, p.w. (piet)",essent/raad van commissarissen,1
"moerland, p.w. (piet)",dnb/bankraad,1
"moerland, p.w. (piet)",rabobank groep/raad van bestuur,1
"neervens, j.w.e. (john)",ns/raad van commissarissen,1
"neervens, j.w.e. (john)",um (maastricht)/raad van toezicht,1
"neervens, j.w.e. (john)",abp/directie,4
"neervens, j.w.e. (john)",zuyd/raad van toezicht,1
"nelissen, a.l.m. (ton)",vno-ncw/dagelijks bestuur,1
"nelissen, a.l.m. (ton)",avbb/bestuur,3
"nelissen, a.l.m. (ton)",noc*nsf/bestuur,1
"nelissen, a.l.m. (ton)","lotto, de/beneficiantenraad",1
"nijkamp, p. (peter)",algemene zaken/innovatieplatform,1
"nijkamp, p. (peter)",nftw/forum,1
"nijkamp, p. (peter)",nwo/algemeen bestuur,4
"nijkamp, p. (peter)",ocw/stuurgroep sectorraden en kennisfunctie rijksoverheid,1
"noorda, s.j. (sijbolt)",vsnu/algemeen bestuur,1
"noorda, s.j. (sijbolt)",amc/raad van toezicht,4
"noorda, s.j. (sijbolt)",hva/college,4
"noorda, s.j. (sijbolt)",uva/college van bestuur,4
"noordzij, k.j. (karel)",stichting vnu/bestuur,1
"noordzij, k.j. (karel)",vws/taskforce handicap en samenleving,1
"olijslager, a.a. (andré)",nijenrode/stichtingsbestuur,1
"olijslager, a.a. (andré)",abn amro/raad van commissarissen,1
"olijslager, a.a. (andré)",ndl/raad van toezicht,4
"oordt, r.f.w. (rob) van",nijenrode/internationale adviesraad,1
"oordt, r.f.w. (rob) van",concertgebouw fonds/johannes brahms kring,1
"oordt, r.f.w. (rob) van",rodamco eu/raad van commissarissen,4
"oosterwijk, j.w. (jan willem)",ser/raad,1
"oosterwijk, j.w. (jan willem)",financiën/studiegroep begrotingsruimte,1
"oosterwijk, j.w. (jan willem)",economische zaken/secretaris generaal,3
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",raad van state/raad,1
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",oranje fonds/bestuur,3
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",dnb/raad van commissarissen,1
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",kröller müller/raad van toezicht,1
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",verkeer&waterstaat/adviescommissie water,4
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",kh/hof,1
"oranje-nassau van amsberg (prins der nederlanden), prins willem-alexander",ioc/comite,1
"oranje-nassau, m.f. van (prinses margriet)",het loo/raad van toezicht,1
"oranje-nassau, m.f. van (prinses margriet)",kh/hof,1
"oranje-nassau, m.f. van (prinses margriet)",rode kruis/bestuur,3
"ouwerkerk, h.g. (hans)",justitie/adviescommissie justitie in de buurt,4
"ouwerkerk, h.g. (hans)",vrom/commissie voor de milieueffectrapportage: presidium,1
"overmars, p.f.m. (paul)",economische zaken/ambassadeursnetwerk,1
"overmars, p.f.m. (paul)",rabobank groep/raad van commissarissen,1
"overmars, p.f.m. (paul)",achmea/raad van commissarissen,1
"overmars, p.f.m. (paul)",dnb/bankraad,1
"paas, f.j. (rené)",ser/raad,1
"paas, f.j. (rené)",dnb/bankraad,1
"paas, f.j. (rené)",ser/dagelijks bestuur,1
"paas, f.j. (rené)",cnv/bestuur,4
"pans, r.j.j.m. (ralph)",bng/raad van commissarissen,1
"pans, r.j.j.m. (ralph)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: sturing eu-,1
"pans, r.j.j.m. (ralph)",vng/directie,4
"pennings, j.v.h. (harry)",essent/raad van commissarissen,4
"pennings, j.v.h. (harry)",wolters kluwer/raad van commissarissen,1
"pennings, j.v.h. (harry)",océ/raad van commissarissen,1
"pennings, j.v.h. (harry)",berenschot/raad van commissarissen,1
"rabbinge, r. (rudy)",staten generaal/eerste kamer,1
"rabbinge, r. (rudy)",nftw/forum,1
"rabbinge, r. (rudy)",stw/bestuursraad,1
"rabbinge, r. (rudy)",rivm/raad van toezicht,1
"rinnooy kan, a.h.g. (alexander)",concertgebouw fonds/johannes brahms kring,1
"rinnooy kan, a.h.g. (alexander)",concertgebouw nv/raad van commissarissen,4
"rinnooy kan, a.h.g. (alexander)",algemene zaken/innovatieplatform,1
"rinnooy kan, a.h.g. (alexander)",ser/raad,4
"rinnooy kan, a.h.g. (alexander)",luf/algemeen bestuur,1
"risseeuw, a.h.j. (ton)",nijenrode/internationale adviesraad,1
"risseeuw, a.h.j. (ton)",nieuwe kerk/bestuur,1
"risseeuw, a.h.j. (ton)",heineken/raad van commissarissen,1
"risseeuw, a.h.j. (ton)",kpn/raad van commissarissen,4
"risseeuw, a.h.j. (ton)",tno/raad van toezicht,1
"ritzen, j.m.m. (jo)",vsnu/algemeen bestuur,1
"ritzen, j.m.m. (jo)",um (maastricht)/college van bestuur,4
"rooy, y.c.m.t. (yvonne) van",uu (utrecht)/college van bestuur,4
"rooy, y.c.m.t. (yvonne) van",bng/raad van commissarissen,1
"rooy, y.c.m.t. (yvonne) van",vsnu/algemeen bestuur,1
"rooy, y.c.m.t. (yvonne) van",nexus/adviesraad,1
"rooy, y.c.m.t. (yvonne) van",nftw/forum,1
"rooy, y.c.m.t. (yvonne) van",economische zaken/ambassadeursnetwerk,1
"rooy, y.c.m.t. (yvonne) van",ocw/committee review degrees (internationale commissie),1
"rosenmöller, p. (paul)",uwv/adviesraad,1
"rosenmöller, p. (paul)",rode kruis/bestuur,1
"rosenthal, u. (uri)",staten generaal/eerste kamer,1
"rosenthal, u. (uri)",rvtv/bestuur,1
"rosenthal, u. (uri)",cot/directie,4
"rosenthal, u. (uri)",telder/curatorium,1
"ruding, h.o.c.r. (onno)",nijenrode/internationale adviesraad,1
"ruding, h.o.c.r. (onno)",bng/raad van commissarissen,4
"ruys, a. (thony)",kunstbezit/raad van toezicht,1
"ruys, a. (thony)","rijksmuseum, het/raad van toezicht",1
"ruys, a. (thony)",veerstichting/raad van toezicht,1
"ruys, a. (thony)",stop aids/raad van toezicht,4
"ruys, a. (thony)",ngiz/board,1
"sanders, m. (martijn)","rembrandt, vereniging/bestuur",1
"sanders, m. (martijn)",nexus/raad van toezicht,1
"sanders, m. (martijn)",veerstichting/commissie,4
"sanders, m. (martijn)",ad nieuwsmedia/raad van commissarissen,1
"sanders, m. (martijn)",concertgebouw nv/directie,5
"scheepbouwer, a.j. (ad)",havenbedrijf/raad van commissarissen,1
"scheepbouwer, a.j. (ad)","baak, de/bestuur",1
"scheepbouwer, a.j. (ad)",vws/programma sneller beter,1
"scheepbouwer, a.j. (ad)",kpn/raad van bestuur,5
"schijndel, p.j.a. (piet) van",nvb/bestuur,1
"schijndel, p.j.a. (piet) van",rabobank groep/raad van bestuur,1
"schijndel, p.j.a. (piet) van",rode kruis/bestuur,1
"schnabel, p. (paul)","rembrandt, vereniging/adviesraad",1
"schnabel, p. (paul)",oranje fonds/bestuur,1
"schnabel, p. (paul)",van gogh museum/raad van toezicht,1
"schnabel, p. (paul)","baak, de/bestuur",1
"schnabel, p. (paul)",onderwijsinspectie/adviesraad,1
"schnabel, p. (paul)",scp/directie,5
"schraven, j.h. (jacques)",nuon/raad van commissarissen,1
"schraven, j.h. (jacques)",ncw/bestuur,4
"schraven, j.h. (jacques)",erasmus mc/raad van toezicht,4
"schraven, j.h. (jacques)",corus/board,3
"schraven, j.h. (jacques)",clingendael/raad van commissarissen,1
"schraven, j.h. (jacques)",rand europe/adviesraad,1
"schreve, f.h. (frank)",nftw/forum,1
"schreve, f.h. (frank)",hoge veluwe/raad van toezicht,3
"schreve, f.h. (frank)",opg/raad van commissarissen,1
"schreve, f.h. (frank)",fugro/raad van commissarissen,4
"schreve, f.h. (frank)",ut (twente)/adviesraad,1
"siderius-fentener van vlissingen, a.m. (annemiek)",heineken/raad van commissarissen,1
"siderius-fentener van vlissingen, a.m. (annemiek)",shv/raad van commissarissen,4
"siderius-fentener van vlissingen, a.m. (annemiek)",rijksmuseum fonds/bestuur,1
"siderius-fentener van vlissingen, a.m. (annemiek)",ubbo emmius (groningen)/bestuur,1
"siderius-fentener van vlissingen, a.m. (annemiek)",lnv/commissie biotechnologie bij dieren,1
"sistermans, j.f. (joop)",algemene zaken/innovatieplatform,1
"sistermans, j.f. (joop)",nftw/forum,3
"sistermans, j.f. (joop)",ocw/adviesraad voor het wetenschaps- en techniekbeleid,4
"sistermans, j.f. (joop)",ut (twente)/raad van toezicht,1
"slingelandt, d.j.m.g. (rik) van",ubbo emmius (groningen)/bestuur,1
"slingelandt, d.j.m.g. (rik) van",robeco groep/raad van commissarissen,1
"slingelandt, d.j.m.g. (rik) van",rabobank groep/raad van bestuur,1
"slingelandt, d.j.m.g. (rik) van",boerhaave/bestuur,1
"slingelandt, d.j.m.g. (rik) van",talpa media holding/raad van commissarissen,1
"smits, h.n.j. (hans)",klm/raad van commissarissen,1
"smits, h.n.j. (hans)",tud/raad van toezicht,1
"smits, h.n.j. (hans)",havenbedrijf/raad van bestuur,4
"smits, h.n.j. (hans)",economische zaken/gemengde commissie administratieve lasten ez en onderliggende ,4
"smits, h.n.j. (hans)",hoge veluwe/adviesraad,1
"snoeij, e.l. (edith)",ser/raad,1
"snoeij, e.l. (edith)",abp/bestuur,3
"snoeij, e.l. (edith)",abvakabo/bestuur,4
"snoeij, e.l. (edith)",vvb/bestuur,1
"sorgdrager, w. (winnie)",raad van state/raad,1
"sorgdrager, w. (winnie)",vws/stuurgroep modernisering beroepsuitoefening in de gezondheidszorg,4
"sorgdrager, w. (winnie)",verkeer&waterstaat/aviescollege beter geregeld,4
"sorgdrager, w. (winnie)",arbo unie/bestuur,1
"sorgdrager, w. (winnie)",unicef/raad van toezicht,1
"sorgdrager, w. (winnie)",ocw/commissie 'ruim baan voor talent',1
"sorgdrager, w. (winnie)",vws/regionale toetsingscommissies euthenasie,1
"staal, b. (boele)",twynstra en gudde/raad van commissarissen,4
"staal, b. (boele)",onvz/raad van commissarissen,4
"staal, b. (boele)",maatschappij en veiligheid/adviesraad,1
"staal, b. (boele)",jaarbeurs/raad van commissarissen,1
"staal, b. (boele)",binnenlandse zaken/adviescommissie coordinatie ict rampenbestrijding,1
"staal, b. (boele)",utrecht/commissaris van de koningin,4
"stevens, w.f.c. (willem)",amsterdams historisch/bestuur,4
"stevens, w.f.c. (willem)",concertgebouw fonds/bestuur,3
"stevens, w.f.c. (willem)",concertgebouw fonds/johannes brahms kring,1
"stevens, w.f.c. (willem)",schiphol/raad van commissarissen,1
"stevens, w.f.c. (willem)",aegon/raad van commissarissen,1
"stevens, w.f.c. (willem)",amsterdam partners/raad van bestuur,4
"stevens, w.f.c. (willem)",staatsloterij/raad van commissarissen,1
"storm, k.j. (kees)",klm/raad van commissarissen,4
"storm, k.j. (kees)",conference board/international council,2
"storm, k.j. (kees)",vno-ncw/curatorium,1
"storm, k.j. (kees)",aegon/raad van commissarissen,1
"storm, k.j. (kees)",pon/raad van commissarissen,3
"storm, k.j. (kees)",ncw/bestuur,1
"storm, k.j. (kees)",rijksmuseum fonds/bestuur,1
"streppel, j.b.m. (jos)",kpn/raad van commissarissen,1
"streppel, j.b.m. (jos)",financiën/monitoring commissie coporate governance,1
"streppel, j.b.m. (jos)",van lanschot/raad van commissarissen,1
"streppel, j.b.m. (jos)",aegon/raad van bestuur,4
"swaab, e.h. (els)",mondriaan stichting/bestuur,4
"swaab, e.h. (els)",stedelijk museum amsterdam/bestuur,1
"swaab, e.h. (els)",dnb/raad van commissarissen,3
"swaab, e.h. (els)",ocw/raad voor cultuur,4
"swaab, e.h. (els)",democratie en media/bestuur,4
"swaab, e.h. (els)",4 en 5 mei/dagelijks bestuur,4
"swaab, e.h. (els)",kadaster/raad van toezicht,1
"swaan, t. (tom) de",concertgebouworkest/bestuur,2
"swaan, t. (tom) de",abn amro/raad van bestuur,1
"swaan, t. (tom) de",muziektheater/bestuur,4
"swaan, t. (tom) de",nexus/adviesraad,1
"swaan, t. (tom) de",opera/bestuur,4
"swaan, t. (tom) de",veerstichting/raad van toezicht,1
"tabaksblat, m. (morris)",nijenrode/internationale adviesraad,1
"tabaksblat, m. (morris)",claus fonds/bestuur,2
"tabaksblat, m. (morris)",reed elsevier/raad van commissarissen,4
"tabaksblat, m. (morris)",conference board/international council,2
"tabaksblat, m. (morris)",rul (leiden)/raad van toezicht,4
"tabaksblat, m. (morris)",lumc/raad van toezicht,4
"terpstra, d. (doekle)",vumc/raad van toezicht,1
"terpstra, d. (doekle)",hbo-raad/bestuur,4
"terpstra, d. (doekle)",nos/raad van toezicht,1
"terpstra, e.g. (erica)",vno-ncw/curatorium,1
"terpstra, e.g. (erica)",noc*nsf/bestuur,4
"terpstra, e.g. (erica)",4 en 5 mei/algemeen bestuur,1
"tets, r.w.f. (rijnhard) van",euronext/raad van commissarissen,1
"tets, r.w.f. (rijnhard) van",rijksmuseum fonds/bestuur,2
"tets, r.w.f. (rijnhard) van",amc/raad van toezicht,1
"tets, r.w.f. (rijnhard) van",luf/dagelijks bestuur,4
"tets, r.w.f. (rijnhard) van",wegener/raad van commissarissen,4
"tets, r.w.f. (rijnhard) van",arcadis/raad van commissarissen,1
"tets, r.w.f. (rijnhard) van",egeria/adviesraad,1
"tets, r.w.f. (rijnhard) van",financiën/commissie modernisering beleggingsinstellingen,1
"teulings, c.n. (coen)",ser/raad,1
"teulings, c.n. (coen)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"teulings, c.n. (coen)",staten generaal/raad van economisch adviseurs,1
"teulings, c.n. (coen)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: ,1
"teulings, c.n. (coen)",cpb/directie,5
"thissen, ch.p. (tof)",staten generaal/eerste kamer,1
"thissen, ch.p. (tof)",vws/taskforce handicap en samenleving,1
"thissen, ch.p. (tof)",sociale zaken/commissie het werkend perspectief,1
"timmerman-buck, y.e.m.a. (yvonne)",staten generaal/eerste kamer,4
"timmerman-buck, y.e.m.a. (yvonne)",kro/bestuur,1
"tjeenk willink, h.d. (herman)",anne frank/raad van toezicht,1
"tjeenk willink, h.d. (herman)",raad van state/raad,4
"tjeenk willink, h.d. (herman)",hoge veluwe/raad van toezicht,1
"tjeenk willink, h.d. (herman)",stop aids/stichtingsbestuur,4
"tjeenk willink, h.d. (herman)",nexus/bestuur,1
"veen, e.w. (ernst)","rembrandt, vereniging/adviesraad",1
"veen, e.w. (ernst)",nieuwe kerk/directie,5
"veen, e.w. (ernst)",hermitage/directie,5
"veen, m.c. (maarten) van",concertgebouworkest/bestuur,4
"veen, m.c. (maarten) van",nieuwe kerk/bestuur,4
"veen, m.c. (maarten) van",rand europe/raad van commissarissen,1
"veen, m.c. (maarten) van",khmw/bestuur,4
"veenman, a.w. (aad)",rabobank groep/raad van commissarissen,1
"veenman, a.w. (aad)",tennet/raad van commissarissen,1
"veenman, a.w. (aad)",ns/raad van bestuur,4
"veer, b. (ben) van der",vno-ncw/dagelijks bestuur,1
"veer, b. (ben) van der",unicef/raad van toezicht,1
"veer, b. (ben) van der",kpmg/raad van bestuur,4
"veer, j. (jeroen) van der",unilever/raad van commissarissen,1
"veer, j. (jeroen) van der",ert/raad,1
"veer, j. (jeroen) van der",royal dutch shell/board of directors,5
"verberg, g.h.b. (george)",prins bernhard cultuurfonds/raad van toezicht,1
"verberg, g.h.b. (george)",essent/raad van commissarissen,1
"verberg, g.h.b. (george)",rug/raad van toezicht,4
"verberg, g.h.b. (george)",economische zaken/algemene energieraad,1
"verhoeven, a.h. (ad)",ser/raad,1
"verhoeven, a.h. (ad)",jaarbeurs/raad van commissarissen,1
"verhoeven, a.h. (ad)",dnb/bankraad,1
"verhoeven, a.h. (ad)",ser/dagelijks bestuur,1
"verhoeven, a.h. (ad)",mhp/bestuur,4
"vermeend, w.a.f.g. (willem)",randstad/raad van commissarissen,1
"vermeend, w.a.f.g. (willem)",erasmus mc/raad van toezicht,1
"vermeend, w.a.f.g. (willem)",boer & croon/??,1
"vermeend, w.a.f.g. (willem)",eur/raad van toezicht,1
"vermeulen, p.o. (pim)",nvb/bestuur,1
"vermeulen, p.o. (pim)",kadaster/raad van toezicht,1
"vermeulen, p.o. (pim)",bng/raad van bestuur,4
"vermeulen, p.o. (pim)",maatschappij en veiligheid/bestuur,1
"verwaayen, b.j.m. (ben)",ert/raad,1
"verwaayen, b.j.m. (ben)",vno-ncw/curatorium,1
"vliegenthart, a.m. (margo)",ser/raad,1
"vliegenthart, a.m. (margo)",ser/dagelijks bestuur,1
"vliegenthart, a.m. (margo)",sociale zaken/overleggroep jeugdwerkloosheid,4
"vliegenthart, a.m. (margo)",svb/adviesraad,1
"vliegenthart, a.m. (margo)",hu/raad van toezicht,1
"vliegenthart, a.m. (margo)",binnenlandse zaken/auditteam voetbalvandalisme,1
"vlies, i.c. (inge) van der",kunstbezit/raad van toezicht,1
"vlies, i.c. (inge) van der",binnenlandse zaken/advies- en arbitragecommissie,1
"vlies, i.c. (inge) van der",ocw/adviescommissie restitutieverzoeken cultuurgoederen en wo ii,1
"vlies, i.c. (inge) van der",democratie en media/adviesraad,1
"vlies, i.c. (inge) van der",binnenlandse zaken/adviescommissie grondrechten en functie-uitoefening ambtenaren,1
"vogelaar, c.p. (ella)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"vogelaar, c.p. (ella)",sociale zaken/commissie het werkend perspectief,1
"vogelaar, c.p. (ella)",novib/raad van toezicht,4
"vogelaar, c.p. (ella)",nvao/algemeen bestuur,1
"vogelaar, c.p. (ella)",havenbedrijf/raad van commissarissen,1
"vollenhoven, p. (pieter) van",kh/hof,1
"vollenhoven, p. (pieter) van",maatschappij en veiligheid/bestuur,4
"vollenhoven, p. (pieter) van",rvtv/bestuur,4
"voorhoeve, j.j.c. (joris)",raad van state/raad,1
"voorhoeve, j.j.c. (joris)",wpf/bestuur,4
"voorhoeve, j.j.c. (joris)",binnenlandse zaken/programma andere overheid: takenanalyse departementale ,4
"voorst tot voorst, b.j.m. (berend-jan) van",kunstbezit/raad van toezicht,4
"voorst tot voorst, b.j.m. (berend-jan) van",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: sturing eu-,4
"voorst tot voorst, b.j.m. (berend-jan) van",verkeer&waterstaat/veiligheidsadviescommissie schiphol,1
"voorst tot voorst, b.j.m. (berend-jan) van",stichting vluchteling/bestuur,3
"vos-van gortel, m.w.m. (lien)",maatschappij en veiligheid/adviesraad,1
"vos-van gortel, m.w.m. (lien)",justitie/college van toezicht op de kansspelen,4
"vos-van gortel, m.w.m. (lien)",nki/raad van commissarissen,1
"vos-van gortel, m.w.m. (lien)",binnenlandse zaken/commissie integratie rijksoverheid,1
"vreeman, r.l. (ruud)",arbo unie/raad van commissarissen,1
"vreeman, r.l. (ruud)",binnenlandse zaken/programmaraad lecd,1
"vreeman, r.l. (ruud)",cwi/adviesraad,1
"vreeman, r.l. (ruud)",terre des hommes/bestuur,1
"vreeman, r.l. (ruud)",tilburg/college van b&w,4
"vught, f.a. (frans) van",algemene zaken/innovatieplatform,1
"vught, f.a. (frans) van",ocw/onderwijsraad,1
"vught, f.a. (frans) van",eua/dagelijks bestuur,1
"vught, f.a. (frans) van",bepa/adviesraad,1
"vuursteen, k. (karel)",ing groep/raad van commissarissen,1
"vuursteen, k. (karel)",concertgebouw fonds/bestuur,4
"vuursteen, k. (karel)",akzo nobel/raad van commissarissen,1
"vuursteen, k. (karel)",heineken/board of directors,1
"vuursteen, k. (karel)",nijenrode/raad van toezicht,1
"vuursteen, k. (karel)",concertgebouw fonds/johannes brahms kring,1
"vuursteen, k. (karel)",lauwerecht/bestuur,1
"vuursteen, k. (karel)",wnf/raad van toezicht,1
"vuursteen, k. (karel)",binnenlandse zaken/programma andere overheid; cie. rijksbrede takenanalyse: geintegreerd ,1
"waaij, c.w. (kees) van der",opportunity/bestuur,1
"waaij, c.w. (kees) van der",arbo unie/raad van commissarissen,1
"waaij, c.w. (kees) van der",vno-ncw/dagelijks bestuur,1
"waaij, c.w. (kees) van der",ncd/bestuur,1
"waal, l.j. (lodewijk) de",kunstbezit/raad van toezicht,1
"waal, l.j. (lodewijk) de",fmo/raad van commissarissen,1
"waal, l.j. (lodewijk) de",tud/raad van toezicht,1
"wellink, a.h.e.m. (nout)",mauritshuis/raad van toezicht,1
"wellink, a.h.e.m. (nout)",dnb/directie,5
"wellink, a.h.e.m. (nout)",financiën/studiegroep begrotingsruimte,1
"wellink, a.h.e.m. (nout)",sociale zaken/joke-smit prijs,1
"werf, j.g. (johan) van der",onvz/raad van commissarissen,1
"werf, j.g. (johan) van der",vno-ncw/dagelijks bestuur,1
"werf, j.g. (johan) van der",verbond van verzekeraars/bestuur,1
"werf, j.g. (johan) van der",aegon/raad van bestuur,1
"werner, f.j.m. (jos)",mondriaan stichting/bestuur,1
"werner, f.j.m. (jos)",staten generaal/eerste kamer,1
"werner, f.j.m. (jos)",health valley/bestuur,4
"westerlaken, a.a. (anton)",vno-ncw/curatorium,1
"westerlaken, a.a. (anton)",binnenlandse zaken/adviescommissie rechtspositie politieke ambtsdragers,1
"westerlaken, a.a. (anton)",vu/raad van toezicht,1
"westerlaken, a.a. (anton)",vumc/raad van toezicht,1
"westerlaken, a.a. (anton)",sociale zaken/commissie het werkend perspectief,4
"westerlaken, a.a. (anton)",vws/raad voor de volksgezondheid & zorg,1
"wiegel, h. (hans)",bouwfonds/raad van commissarissen,1
"wiegel, h. (hans)",vno-ncw/curatorium,1
"wiegel, h. (hans)",maatschappij en veiligheid/bestuur,1
"wiegel, h. (hans)",zn/bestuur,4
"wientjes, b.e.m. (bernard)",ser/raad,1
"wientjes, b.e.m. (bernard)",maatschappij en veiligheid/adviesraad,1
"wientjes, b.e.m. (bernard)",vno-ncw/dagelijks bestuur,4
"wientjes, b.e.m. (bernard)",dnb/bankraad,1
"wientjes, b.e.m. (bernard)",ser/dagelijks bestuur,1
"wientjes, b.e.m. (bernard)",sociale zaken/commissie het werkend perspectief,4
"wijers, g.j. (hans)",ert/raad,1
"wijers, g.j. (hans)",oranje fonds/bestuur,4
"wijers, g.j. (hans)",akzo nobel/raad van bestuur,4
"wijers, g.j. (hans)",ubbo emmius (groningen)/bestuur,4
"wijffels, h.h.f. (herman)","rijksmuseum, het/raad van toezicht",4
"wijffels, h.h.f. (herman)",natuurmonumenten/bestuur,4
"wijffels, h.h.f. (herman)",uvt (tilburg)/stichtingsbestuur,4
"wijffels, h.h.f. (herman)",algemene zaken/innovatieplatform,1
"wijffels, h.h.f. (herman)",nexus/adviesraad,1
"wijffels, h.h.f. (herman)",jaarbeurs/raad van commissarissen,3
"wijffels, h.h.f. (herman)",umcu (utrecht)/raad van toezicht,4
"wijffels, h.h.f. (herman)",nieuw leiderschap/bestuur,4
"wijffels, h.h.f. (herman)",shv/raad van commissarissen,1
"wijk, l.m. (leo) van",randstad/raad van commissarissen,1
"wijk, l.m. (leo) van",ndl/raad van toezicht,1
"wijk, l.m. (leo) van",aegon/raad van commissarissen,1
"wijk, l.m. (leo) van",air france-klm/strategic management commitee,1
"wijk, l.m. (leo) van",abn amro/adviesraad,1
"wijk, l.m. (leo) van",klm/directie,5
"willems, r. (rein)",algemene zaken/innovatieplatform,1
"willems, r. (rein)",economische zaken/ambassadeursnetwerk,1
"willems, r. (rein)",vno-ncw/dagelijks bestuur,1
"willems, r. (rein)",vnci/dagelijks bestuur,4
"winsemius, p. (pieter)",fugro/raad van commissarissen,1
"winsemius, p. (pieter)",van gogh museum/raad van toezicht,4
"winsemius, p. (pieter)",kempen & co/raad van commissarissen,4
"winsemius, p. (pieter)",eur/raad van toezicht,1
"winsemius, p. (pieter)",algemene zaken/wetenschappelijke raad voor het regeringsbeleid,1
"winsemius, p. (pieter)",binnenlandse zaken/programma andere overheid: takenanalyse departementale ,1
"woudenberg, c. (cees) van",dsm/raad van commissarissen,1
"woudenberg, c. (cees) van",awvn/bestuur,4
"woudenberg, c. (cees) van",vno-ncw/dagelijks bestuur,1
"woudenberg, c. (cees) van",air france-klm/strategic management commitee,1
"zijl, j.p.c.m. (jan) van",uvt (tilburg)/stichtingsbestuur,1
